id,benchmark,category,task,score_l3,score_l2,same_text,decode_l3,decode_l2,tokens_l3,tokens_l2
livebench-ecc1a1c419adee3fb957f3a8d8e2acd87beffa0199f83629add26cd88935c4b1,livebench,language,typos,1.0,1.0,True,10.879227567713425,12.481455785955124,342,342
livebench-c008e3fd220239ea1a8345a59f5beea2510b132cc29b05893bb1d18b5f1acb44,livebench,reasoning,web_of_lies_v2,1.0,1.0,False,10.906051518538492,11.937938574612977,1786,1861
livebench-eae492105162057ac07f4920749d2125f86b5a335557c61d328d49f198af3343,livebench,coding,coding_completion,1.0,1.0,True,10.456517840962922,10.780316926566853,22,22
livebench-0d3a48049dc5da31531654f59e7866832579f812b892610bd1b178fc4d010d0c,livebench,math,olympiad,0.050000000000000044,0.050000000000000044,False,9.353503604223159,9.27283244593619,2048,2048
livebench-43b7ccbcb6eef8606b1b0aaf4c1c858948f75df49caa0589f74a107a9eaf1ea8,livebench,data_analysis,cta,1.0,1.0,True,0.0,0.0,1,1
ifeval-3084,ifeval,instruction_following,punctuation:no_comma,1.0,1.0,True,3.7614580161279747,3.4631682330337834,16,16
livebench-88469d31544334ab642e51631f33033977dab39dbee67d5e94342809cb9cc3d4,livebench,language,connections,0.3333333333333333,0.3333333333333333,False,8.856126065123165,8.770572801201265,2048,2048
livebench-27eb08badf45383af3d99130de55ffe01e5723504d6d5fca8f9a7f672aad7e82,livebench,reasoning,spatial,1.0,1.0,False,10.107660805953818,10.080021646642576,1032,1015
livebench-eecef5ebcd4b0224ec2404b15759eae2703c32db82dc7fd711af23c0dffc888a,livebench,coding,LCB_generation,1.0,1.0,False,8.663968363422844,8.706275793611198,314,222
livebench-4ef450191d74d0e7622b24ba12392d8ed0846a502cef3d4db5992d19f8789eaf,livebench,math,math_comp,0.0,0.0,False,10.676897130365166,10.994594048968956,2048,2048
livebench-dbc100e6b17f59547b155762e53564c1d30e21197f86780b166e4c067ee4b0e8,livebench,data_analysis,tablereformat,1.0,1.0,True,12.583412439160917,12.974852903749198,355,355
ifeval-2100,ifeval,instruction_following,detectable_format:number_bullet_lists,1.0,1.0,False,5.535663999337864,5.3252936191725055,89,111
livebench-7595e663e1a8168e50c5f0f29bc0e304a0de39a3c1510c90b41371dda47d7aac,livebench,language,plot_unscrambling,0.3529411764705882,0.47058823529411764,False,12.35653558514927,12.348641410591062,697,697
livebench-c833574b0ff6e8609bee19b36fabc48501cdcd9a64b99cd0422f54ada1acc53d,livebench,reasoning,zebra_puzzle,0.0,0.0,False,10.189324615082617,10.857824641009683,2048,2048
livebench-16503edeb04a3a1af42e446248632951a149ca0cb3253c2e4fc91716ad53b5c7,livebench,coding,coding_completion,0.0,0.0,True,8.142713744160037,8.11853416681223,32,32
livebench-ef48e542b5544e5ad49c167983055b8eebd48b77d94dd19a8c408c3fb894bc10,livebench,math,AMPS_Hard,1.0,1.0,False,12.00059511262971,12.440517653553863,771,758
livebench-44953ce33916e7caae16bbce54fbd5a4e00d438924e5e53c0b5c5765ce5a583f,livebench,data_analysis,tablejoin,0.5,0.5,True,11.47830857928626,10.793006767068025,15,15
ifeval-1069,ifeval,instruction_following,keywords:existence,1.0,1.0,False,7.540741655128324,6.173244169691768,1507,799
livebench-2b05709f1438d20c1c66b056f28b4865e04493bf708caf71003d1096e9591bfd,livebench,language,typos,0.0,0.0,True,11.272139973174985,12.258028726549492,104,104
livebench-bfcc5037c3e26c0f713b087a441e4c5d8432d49841d607001e7679dbb18ffd34,livebench,reasoning,web_of_lies_v2,1.0,1.0,False,11.047197273738826,12.063231164893988,878,973
